trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1464.3237494999998,43929.712485,43929,1464.3,1464.8069695,43944.209084999995,43944,1464.8,1466.3630739999999,43990.892219999994,43990,1466.3333333333333,1.2776178206840996,1,1,2,2,2,3,b'NB_14_frameA.png',1467.640691820684,44029.22075462052,44029,1467.6333333333334
2,1467.65442525,44029.6327575,44029,1467.6333333333334,1468.1376484999998,44044.129454999995,44044,1468.1333333333334,1469.671317,44090.13951,44090,1469.6666666666667,1.4100885809748434,2,0,5,1,2,1,b'SB_9_frameA_foil.png',1471.081405580975,44132.442167429246,44132,1471.0666666666666
3,1471.10292925,44133.0878775,44133,1471.1,1471.636156,44149.08468,44149,1471.6333333333334,1473.1700245,44195.100735,44195,1473.1666666666667,1.4188729385496117,3,0,5,1,2,1,b'HB_8_frameA_foil.png',1474.5888974385496,44237.66692315649,44237,1474.5666666666666
4,1474.60738475,44238.221542499996,44238,1474.6,1475.12394475,44253.7183425,44253,1475.1,1476.65763425,44299.7290275,44299,1476.6333333333334,1.5191912328009494,3,1,4,2,2,1,b'HB_4_frameA.png',1478.176825482801,44345.304764484026,44345,1478.1666666666667
5,1478.189913,44345.69739,44345,1478.1666666666667,1478.6397355,44359.192064999996,44359,1478.6333333333334,1480.1945222499999,44405.835667499996,44405,1480.1666666666667,1.2989361570216715,1,0,7,1,2,3,b'NB_4_frameB_foil.png',1481.4934584070215,44444.803752210646,44444,1481.4666666666667
6,1481.4984152499999,44444.952457499996,44444,1481.4666666666667,1482.03185425,44460.9556275,44460,1482.0,1483.56555025,44506.966507499994,44506,1483.5333333333333,1.3916491424897686,2,1,5,1,1,1,b'SB_1_frameA.png',1484.9571993924897,44548.71598177469,44548,1484.9333333333334
7,1484.9723844999999,44549.171534999994,44549,1484.9666666666667,1485.5222697499999,44565.6680925,44565,1485.5,1487.0563335,44611.690005,44611,1487.0333333333333,1.5985861438093707,3,0,4,2,1,1,b'HB_8_frameA_foil.png',1488.6549196438093,44659.64758931428,44659,1488.6333333333334
8,1488.671152,44660.13456,44660,1488.6666666666667,1489.2376995,44677.130984999996,44677,1489.2333333333333,1490.7714695,44723.144085,44723,1490.7666666666667,1.4198616589128505,1,0,7,1,2,3,b'NB_23_frameA_foil.png',1492.1913311589128,44765.739934767385,44765,1492.1666666666667
9,1492.2003702499999,44766.011107499995,44766,1492.2,1492.650281,44779.50843,44779,1492.6333333333334,1494.1839894999998,44825.51968499999,44825,1494.1666666666667,1.487661961466074,1,0,2,2,1,3,b'NB_17_frameA_foil.png',1495.671651461466,44870.149543843974,44870,1495.6666666666667
10,1495.6930069999999,44870.79020999999,44870,1495.6666666666667,1496.259566,44887.78698,44887,1496.2333333333333,1497.793974,44933.81922,44933,1497.7666666666667,1.5987527807010338,2,0,7,1,2,3,b'SB_4_frameA_foil.png',1499.392726780701,44981.78180342103,44981,1499.3666666666666
11,1499.4060915,44982.182745,44982,1499.4,1499.9393145,44998.179435,44998,1499.9333333333334,1501.4730319999999,45044.19095999999,45044,1501.4666666666667,1.3916908631217666,1,1,6,1,1,2,b'NB_9_frameB.png',1502.8647228631216,45085.941685893646,45085,1502.8333333333333
12,1502.8843015,45086.529045,45086,1502.8666666666666,1503.46752475,45104.0257425,45104,1503.4666666666667,1505.00125125,45150.0375375,45150,1505.0,1.5097054883372039,1,1,2,2,2,3,b'NB_21_frameB.png',1506.5109567383372,45195.32870215012,45195,1506.5
13,1506.51526025,45195.4578075,45195,1506.5,1506.965222,45208.95666,45208,1506.9333333333334,1508.499992,45254.99976,45254,1508.4666666666667,1.2667449189466424,3,0,6,1,2,2,b'HB_1_frameB_foil.png',1509.7667369189467,45293.0021075684,45293,1509.7666666666667
