trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2321.94226,69658.2678,69658,2321.9333333333334,2322.52395825,69675.7187475,69675,2322.5,2324.5783075,69737.349225,69737,2324.5666666666666,0.0,3,1,1,1,2.0,0.0,b'HB_41_ShortA.png',2324.5783075,69737.349225,69737,2324.5666666666666
2,2327.2510015,69817.53004499999,69817,2327.233333333333,2327.8329437499997,69834.98831249999,69834,2327.8,2329.8648197499997,69895.94459249999,69895,2329.8333333333335,2.4513452797896207,2,1,2,1,2.0,3.0,b'SB_57_LongA.png',2332.3161650297893,69969.48495089367,69969,2332.3
3,2332.3422975,69970.268925,69970,2332.3333333333335,2332.9242462499997,69987.7273875,69987,2332.9,2334.955939,70048.67817,70048,2334.9333333333334,1.7667751010167194,2,1,2,1,2.0,3.0,b'SB_21_ShortA.png',2336.7227141010167,70101.6814230305,70101,2336.7
4,2336.7519755,70102.55926499999,70102,2336.733333333333,2337.35400125,70120.62003749999,70120,2337.3333333333335,2339.385766,70181.57298,70181,2339.366666666667,1.0996337821907218,2,1,2,1,2.0,3.0,b'SB_10_ShortA.png',2340.4853997821906,70214.56199346572,70214,2340.4666666666667
5,2340.5016367499998,70215.0491025,70215,2340.5,2341.18384925,70235.5154775,70235,2341.1666666666665,2343.23889225,70297.16676749999,70297,2343.233333333333,1.5626478636318097,2,2,7,2,2.0,3.0,b'SB_7_ShortA.png',2344.8015401136317,70344.04620340896,70344,2344.8
6,2344.8282732499997,70344.84819749999,70344,2344.8,2345.4503205,70363.509615,70363,2345.4333333333334,2347.4816647499997,70424.4499425,70424,2347.4666666666667,2.4219817964399226,2,2,7,2,2.0,3.0,b'SB_44_ShortA.png',2349.9036465464396,70497.10939639319,70497,2349.9
7,2349.921166,70497.63498,70497,2349.9,2350.5834609999997,70517.50382999999,70517,2350.5666666666666,2352.6146575,70578.43972499999,70578,2352.6,2.553524889628079,3,2,6,2,2.0,2.0,b'HB_12_LongA.png',2355.168182389628,70655.04547168883,70655,2355.1666666666665
8,2355.17911325,70655.37339749999,70655,2355.1666666666665,2355.78143075,70673.44292249999,70673,2355.766666666667,2357.81275,70734.3825,70734,2357.8,1.6354934393430085,1,2,7,2,2.0,3.0,b'NB_3_ShortA.png',2359.448243439343,70783.44730318029,70783,2359.4333333333334
9,2359.46225625,70783.8676875,70783,2359.4333333333334,2360.1045814999998,70803.137445,70803,2360.1,2362.1357625,70864.072875,70864,2362.133333333333,1.5560472260831375,1,1,2,1,2.0,3.0,b'NB_11_LongA.png',2363.691809726083,70910.75429178249,70910,2363.6666666666665
10,2363.7037765,70911.113295,70911,2363.7,2364.28573,70928.5719,70928,2364.266666666667,2366.3170365,70989.51109500001,70989,2366.3,0.7783317203325169,2,1,2,1,2.0,3.0,b'SB_47_ShortA.png',2367.0953682203326,71012.86104660998,71012,2367.0666666666666
11,2367.1175055,71013.525165,71013,2367.1,2367.69950075,71030.9850225,71030,2367.6666666666665,2369.7308399999997,71091.9252,71091,2369.7,1.6328998854073689,1,2,7,2,2.0,3.0,b'NB_26_ShortA.png',2371.363739885407,71140.91219656222,71140,2371.3333333333335
12,2371.3796844999997,71141.39053499998,71141,2371.366666666667,2371.961536,71158.84607999999,71158,2371.9333333333334,2373.99300425,71219.7901275,71219,2373.9666666666667,1.0470616993034128,1,2,7,2,2.0,3.0,b'NB_25_ShortA.png',2375.0400659493034,71251.2019784791,71251,2375.0333333333333
13,2375.0468785,71251.406355,71251,2375.0333333333333,2375.62870025,71268.86100749999,71268,2375.6,2377.66012925,71329.8038775,71329,2377.633333333333,3.612561879979239,2,1,2,1,2.0,3.0,b'SB_41_LongA.png',2381.272691129979,71438.18073389938,71438,2381.266666666667
14,2381.28515025,71438.5545075,71438,2381.266666666667,2381.88716725,71456.6150175,71456,2381.866666666667,2383.9183762499997,71517.55128749998,71517,2383.9,3.978068764675754,2,2,7,2,2.0,3.0,b'SB_6_ShortA.png',2387.8964450146755,71636.89335044027,71636,2387.866666666667
15,2387.9154399999998,71637.4632,71637,2387.9,2388.4772667499997,71654.31800249999,71654,2388.4666666666667,2390.50864375,71715.2593125,71715,2390.5,0.8003526896009134,2,1,2,1,2.0,3.0,b'SB_35_LongA.png',2391.308996439601,71739.26989318803,71739,2391.3
16,2391.3159447499997,71739.47834249999,71739,2391.3,2391.95810425,71758.7431275,71758,2391.9333333333334,2393.9893625,71819.680875,71819,2393.9666666666667,1.3524844764724548,1,1,2,1,2.0,3.0,b'NB_14_ShortA.png',2395.3418469764724,71860.25540929417,71860,2395.3333333333335
17,2395.3483825,71860.451475,71860,2395.3333333333335,2395.9905224999998,71879.715675,71879,2395.9666666666667,2398.02187625,71940.6562875,71940,2398.0,1.2651022693630694,2,2,7,2,2.0,3.0,b'SB_19_ShortA.png',2399.286978519363,71978.60935558089,71978,2399.266666666667
18,2399.311852,71979.35556,71979,2399.3,2399.8736205,71996.208615,71996,2399.866666666667,2401.9049462499997,72057.1483875,72057,2401.9,2.248417768751551,2,1,2,1,2.0,3.0,b'SB_46_LongA.png',2404.1533640187513,72124.60092056255,72124,2404.133333333333
19,2404.1649395,72124.948185,72124,2404.133333333333,2404.807103,72144.21309,72144,2404.8,2406.83839525,72205.1518575,72205,2406.8333333333335,1.8541885368608746,1,2,7,2,2.0,3.0,b'NB_14_LongA.png',2408.6925837868607,72260.77751360582,72260,2408.6666666666665
20,2408.714864,72261.44592,72261,2408.7,2409.33696325,72280.1088975,72280,2409.3333333333335,2411.3682357499997,72341.04707249999,72341,2411.366666666667,1.0794926272283192,3,2,6,2,2.0,2.0,b'HB_3_ShortA.png',2412.447728377228,72373.43185131684,72373,2412.4333333333334
21,2412.46495275,72373.9485825,72373,2412.4333333333334,2413.06690175,72392.0070525,72392,2413.0666666666666,2415.0984025,72452.952075,72452,2415.0666666666666,0.9347538256479311,3,1,3,1,2.0,2.0,b'HB_55_LongA.png',2416.0331563256477,72480.99468976943,72480,2416.0
22,2416.0534035,72481.602105,72481,2416.0333333333333,2416.69557425,72500.8672275,72500,2416.6666666666665,2418.7268879999997,72561.80664,72561,2418.7,2.0680852064529063,1,1,2,1,2.0,3.0,b'NB_30_LongA.png',2420.7949732064526,72623.84919619358,72623,2420.766666666667
23,2420.81046575,72624.3139725,72624,2420.8,2421.41247625,72642.3742875,72642,2421.4,2423.44375575,72703.3126725,72703,2423.4333333333334,1.4969322750316678,1,2,7,2,2.0,3.0,b'NB_27_LongA.png',2424.9406880250317,72748.22064075095,72748,2424.9333333333334
24,2424.95336625,72748.60098749999,72748,2424.9333333333334,2425.5955885,72767.867655,72767,2425.5666666666666,2427.6269052499997,72828.80715749999,72828,2427.6,2.8349447136529307,1,1,2,1,2.0,3.0,b'NB_17_ShortA.png',2430.4618499636526,72913.85549890957,72913,2430.4333333333334
25,2430.4820514999997,72914.46154499998,72914,2430.4666666666667,2431.043941,72931.31823,72931,2431.0333333333333,2433.0752617499998,72992.2578525,72992,2433.0666666666666,2.1769771014660364,2,2,7,2,2.0,3.0,b'SB_3_LongA.png',2435.252238851466,73057.56716554398,73057,2435.233333333333
26,2435.26797375,73058.03921249999,73058,2435.266666666667,2435.849997,73075.49991,73075,2435.8333333333335,2437.8813072499997,73136.4392175,73136,2437.866666666667,1.0553992543900677,1,2,7,2,2.0,3.0,b'NB_26_LongA.png',2438.93670650439,73168.10119513169,73168,2438.9333333333334
27,2438.94770425,73168.4311275,73168,2438.9333333333334,2439.52964725,73185.8894175,73185,2439.5,2441.5610147499997,73246.8304425,73246,2441.5333333333333,0.8634745477729666,1,1,2,1,2.0,3.0,b'NB_30_ShortA.png',2442.4244892977727,73272.73467893318,73272,2442.4
28,2442.4482412499997,73273.44723749999,73273,2442.4333333333334,2443.0703605,73292.110815,73292,2443.0666666666666,2445.101147,73353.03441,73353,2445.1,3.028522531306862,3,2,5,2,2.0,1.0,b'HB_5_ShortA.png',2448.1296695313067,73443.8900859392,73443,2448.1
29,2448.1358405,73444.075215,73444,2448.133333333333,2448.7178595,73461.535785,73461,2448.7,2450.7493287499997,73522.4798625,73522,2450.733333333333,2.1601004462631863,3,1,3,1,2.0,2.0,b'HB_48_LongA.png',2452.909429196263,73587.28287588789,73587,2452.9
30,2452.9221884999997,73587.66565499999,73587,2452.9,2453.5041475,73605.12442499999,73605,2453.5,2455.53546725,73666.0640175,73666,2455.5333333333333,2.049471854978947,3,2,6,2,2.0,2.0,b'HB_31_LongA.png',2457.5849391049787,73727.54817314936,73727,2457.5666666666666
31,2457.5956929999998,73727.87078999999,73727,2457.5666666666666,2458.2378732499997,73747.13619749999,73747,2458.233333333333,2460.26874225,73808.06226749999,73808,2460.266666666667,2.62461728354765,1,1,2,1,2.0,3.0,b'NB_24_LongA.png',2462.8933595335475,73886.80078600642,73886,2462.866666666667
32,2462.9100654999997,73887.30196499999,73887,2462.9,2463.5523439999997,73906.57032,73906,2463.5333333333333,2465.5835245,73967.505735,73967,2465.5666666666666,2.498279226728755,3,2,6,2,2.0,2.0,b'HB_33_ShortA.png',2468.0818037267286,74042.45411180185,74042,2468.0666666666666
