trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1157.8760929999999,34736.28279,34736,1157.8666666666666,1158.4179212499998,34752.5376375,34752,1158.4,1159.99751175,34799.9253525,34799,1159.9666666666667,2.8055086997774197,2,1,3,2,2,2,b'SB_2_frameB.png',1162.8030204497775,34884.090613493325,34884,1162.8
2,1162.855629,34885.668869999994,34885,1162.8333333333333,1163.4578132499998,34903.7343975,34903,1163.4333333333334,1164.9867705,34949.603115,34949,1164.9666666666667,1.6162327191850636,2,0,6,1,2,2,b'SB_2_frameB_foil.png',1166.603003219185,34998.09009657555,34998,1166.6
3,1166.636791,34999.103729999995,34999,1166.6333333333334,1167.138297,35014.148909999996,35014,1167.1333333333334,1168.666588,35059.99764,35059,1168.6333333333334,-1.020184243490803,3,1,3,2,2,2,b'HB_5_frameB.png',1167.6464037565092,35029.39211269528,35029,1167.6333333333334
4,1167.67035825,35030.110747499995,35030,1167.6666666666667,1168.2319352499999,35046.9580575,35046,1168.2,1169.7825942499999,35093.4778275,35093,1169.7666666666667,2.6117266581131844,1,1,3,2,2,2,b'NB_15_frameB.png',1172.394320908113,35171.829627243394,35171,1172.3666666666666
5,1172.4178375,35172.535124999995,35172,1172.4,1172.93943975,35188.1831925,35188,1172.9333333333334,1174.46740275,35234.0220825,35234,1174.4666666666667,1.1265338328812504,2,1,3,2,2,2,b'SB_1_frameA.png',1175.5939365828813,35267.81809748644,35267,1175.5666666666666
6,1175.6225829999998,35268.677489999995,35268,1175.6,1176.16441225,35284.9323675,35284,1176.1333333333334,1177.71161975,35331.3485925,35331,1177.7,2.132672510051634,2,1,3,2,2,2,b'SB_2_frameB.png',1179.8442922600516,35395.32876780155,35395,1179.8333333333333
7,1179.8498077499999,35395.494232499994,35395,1179.8333333333333,1180.3720385,35411.161154999994,35411,1180.3666666666666,1181.91930175,35457.5790525,35457,1181.9,1.6446573549765162,2,0,6,1,2,2,b'SB_2_frameA_foil.png',1183.5639591049764,35506.91877314929,35506,1183.5333333333333
8,1183.583977,35507.51931,35507,1183.5666666666666,1184.08565875,35522.5697625,35522,1184.0666666666666,1185.6128465,35568.385395,35568,1185.6,1.2889338032982778,3,1,3,2,2,2,b'HB_1_frameB.png',1186.9017803032982,35607.053409098946,35607,1186.9
9,1186.92053625,35607.6160875,35607,1186.9,1187.482503,35624.47509,35624,1187.4666666666667,1189.0098584999998,35670.29575499999,35670,1189.0,2.4013130004314007,3,1,3,2,2,2,b'HB_1_frameB.png',1191.4111715004312,35742.335145012934,35742,1191.4
10,1191.417262,35742.51786,35742,1191.4,1191.939009,35758.170269999995,35758,1191.9333333333334,1193.46632775,35803.989832499996,35803,1193.4333333333334,1.4736502573650796,2,1,3,2,2,2,b'SB_1_frameB.png',1194.939978007365,35848.19934022095,35848,1194.9333333333334
