trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2137.686777,64130.60331,64130,2137.6666666666665,2138.3691277499997,64151.07383249999,64151,2138.366666666667,2140.42306125,64212.6918375,64212,2140.4,0.0,2,2,1,1,1.0,0.0,b'SB_14_LongA.png',2140.42306125,64212.6918375,64212,2140.4
2,2141.9458852499997,64258.37655749999,64258,2141.9333333333334,2142.5880952499997,64277.64285749999,64277,2142.5666666666666,2144.6197939999997,64338.593819999995,64338,2144.6,1.1362644633481978,3,1,2,1,2.0,3.0,b'HB_58_ShortA.png',2145.756058463348,64372.68175390044,64372,2145.733333333333
3,2145.776264,64373.28792,64373,2145.766666666667,2146.39838275,64391.9514825,64391,2146.366666666667,2148.4300585,64452.901755,64452,2148.4,1.5656781742873136,1,1,3,1,2.0,2.0,b'NB_17_LongA.png',2149.9957366742874,64499.87210022862,64499,2149.9666666666667
4,2150.0189795,64500.569385,64500,2150.0,2150.6209787499997,64518.62936249999,64518,2150.6,2152.652448,64579.57343999999,64579,2152.633333333333,-0.4093460990843596,2,2,7,2,2.0,3.0,b'SB_17_LongA.png',2152.2431019009155,64567.29305702746,64567,2152.233333333333
5,2152.2682529999997,64568.047589999995,64568,2152.266666666667,2152.930331,64587.90993,64587,2152.9,2154.9855147499998,64649.565442499996,64649,2154.9666666666667,3.36863692352199,3,1,2,1,2.0,3.0,b'HB_36_LongA.png',2158.3541516735218,64750.624550205655,64750,2158.3333333333335
6,2158.380077,64751.40230999999,64751,2158.366666666667,2159.002001,64770.06002999999,64770,2159.0,2161.03354325,64831.006297500004,64831,2161.0333333333333,0.5294529782113386,3,2,7,2,2.0,3.0,b'HB_12_LongA.png',2161.5629962282114,64846.889886846344,64846,2161.5333333333333
7,2161.59246925,64847.77407749999,64847,2161.5666666666666,2162.17450475,64865.235142499994,64865,2162.1666666666665,2164.20584275,64926.1752825,64926,2164.2,1.1841944691404933,1,1,3,1,2.0,2.0,b'NB_17_ShortA.png',2165.3900372191406,64961.701116574215,64961,2165.366666666667
8,2165.40215725,64962.064717500005,64962,2165.4,2166.024249,64980.72747,64980,2166.0,2168.055427,65041.662809999994,65041,2168.0333333333333,1.8430124540464021,1,2,6,2,2.0,2.0,b'NB_30_ShortA.png',2169.898439454046,65096.95318362139,65096,2169.866666666667
9,2169.91597625,65097.4792875,65097,2169.9,2170.5581985,65116.745955,65116,2170.5333333333333,2172.5895084999997,65177.68525499999,65177,2172.5666666666666,2.6818520116066793,1,1,3,1,2.0,2.0,b'NB_13_LongA.png',2175.2713605116064,65258.14081534819,65258,2175.266666666667
10,2175.2871735,65258.615204999995,65258,2175.266666666667,2175.8891854999997,65276.67556499999,65276,2175.866666666667,2177.9205724999997,65337.61717499999,65337,2177.9,1.0261017334851203,2,2,7,2,2.0,3.0,b'SB_58_LongA.png',2178.946674233485,65368.400227004546,65368,2178.9333333333334
11,2178.9630469999997,65368.89140999999,65368,2178.9333333333334,2179.54474425,65386.342327499995,65386,2179.5333333333333,2181.5762305,65447.286915,65447,2181.5666666666666,3.242037688338314,1,2,6,2,2.0,2.0,b'NB_22_LongA.png',2184.818268188338,65544.54804565014,65544,2184.8
12,2184.84014825,65545.2044475,65545,2184.8333333333335,2185.50244075,65565.0732225,65565,2185.5,2187.53375775,65626.01273249999,65626,2187.5333333333333,3.0550839671632275,1,2,6,2,2.0,2.0,b'NB_29_LongA.png',2190.588841717163,65717.66525151489,65717,2190.5666666666666
13,2190.60591825,65718.17754749999,65718,2190.6,2191.2480685,65737.442055,65737,2191.233333333333,2193.27872825,65798.3618475,65798,2193.266666666667,4.120665612499579,3,2,7,2,2.0,3.0,b'HB_28_ShortA.png',2197.3993938624994,65921.98181587498,65921,2197.366666666667
14,2197.4052257499998,65922.15677249999,65922,2197.4,2198.0072885,65940.218655,65940,2198.0,2200.038517,66001.15551,66001,2200.0333333333333,1.1789067529753083,3,1,2,1,2.0,3.0,b'HB_59_LongA.png',2201.2174237529753,66036.52271258926,66036,2201.2
